,trial_num,move_times,elbow_start_volts,elbow_start_pix,elbow_start_cm,elbow_start_deg,elbow_end_volts,elbow_end_pix,elbow_end_cm,elbow_end_deg,cursor_end_pix,curs_end_cm,curs_end_deg,mean_velocity,error,block,trial_delay,target_cm,target_deg,target_pix,rt,target_pos,target_amp,full_feedback,terminal_feedback,rotation_direction,rotation,rotation_angle,clamp,clamp_angle,vibration,trial_type,participant_id
264,27,1.4562678000002052,4.180944995459868,-1694.8532237233503,-52.76292668534513,74.24456944493079,3.456900038057938,184.5122197006764,5.74409900771808,124.50250666246085,184.5122197006764,5.74409900771808,124.50250666246085,34.51146637831514,2.813139631282752,post,2.146,2.4692245938866577,121.68936703117808,79.31654906110725,0.6860345999994024,0,1,0,0,0,0,0,0,0,0,0,9
265,28,1.1601430000009714,4.1774004941107705,-1685.6591416739284,-52.47670327064319,74.49043732551229,3.542612525227014,-37.44790958963353,-1.1658008378192075,118.5668552000484,-37.44790958963353,-1.1658008378192075,118.5668552000484,37.9922284360628,0.2737542377978172,post,2.439,-1.4844877380613983,118.29310096225058,-47.6847852552872,0.8550127999988035,0,1,0,0,0,0,0,0,0,0,0,9
266,29,1.676027499999691,4.179333858483005,-1690.6740955190671,-52.632825133207874,74.35632757246782,3.375698734424077,395.95610308279583,12.326614803656105,130.156932975998,395.95610308279583,12.326614803656105,130.156932975998,33.293371023769275,8.48261936418831,post,1.523,2.45170038094608,121.67431361180968,78.75363546511443,0.7269828999997117,0,1,0,0,0,0,0,0,0,0,0,9
267,30,1.4600948999996035,4.17868940369226,-1689.0024442373542,-52.58078451235298,74.40103082348264,3.5590461223910097,-80.68574878796593,-2.5118495149091,117.41059013438218,-80.68574878796593,-2.5118495149091,117.41059013438218,29.456687583054507,-2.4652842643256463,post,1.998,0.3580742778106511,119.87587439870782,11.50207886872875,0.9101018000001204,0,1,0,0,0,0,0,0,0,0,0,9
268,1,1.0320668000003934,4.176111584529281,-1692.3158391105007,-52.683934689798654,74.57984382754194,3.53552352252882,-30.37339260209346,-0.9455621670464196,119.0234614475358,-30.37339260209346,-0.9455621670464196,119.0234614475358,43.06273355559632,-0.4545293911475028,post,2.182,-0.4164285766442734,119.4779908386833,-13.376538412758372,0.6678604999997333,0,1,0,0,0,0,0,0,0,0,0,10
269,2,1.0600343999994948,4.174500447552418,-1688.1367109062176,-52.553833137661385,74.69160195507897,3.496211780293379,72.80843425958813,2.26661874027888,121.78274692580692,72.80843425958813,2.26661874027888,121.78274692580692,44.42416677303152,-1.044667689360239,post,2.442,3.4827530013721786,122.82741461516716,111.873156449589,0.7340060000005906,0,1,0,0,0,0,0,0,0,0,0,10
270,3,0.8540404999985185,4.175789357133908,-1691.4800134696452,-52.65791437937123,74.60219545304932,3.579346448299475,-141.86863089136654,-4.416550097610871,116.04185895739602,-141.86863089136654,-4.416550097610871,116.04185895739602,48.52189504410924,-4.310086795426741,post,1.721,0.6009729612425874,120.35194575282276,19.30448185345776,0.8348088000002463,0,1,0,0,0,0,0,0,0,0,0,10
271,4,1.0106206999989809,4.173533765366301,-1685.6292339836473,-52.47577220637902,74.75865683160117,3.553568256669678,-76.64460718523092,-2.3860436603810093,117.78607794363283,-76.64460718523092,-2.3860436603810093,117.78607794363283,42.57524223685015,-1.8143470004656592,post,2.073,-0.2738987445854959,119.6004249440985,-8.798188413673468,0.804872400000022,0,1,0,0,0,0,0,0,0,0,0,10
272,5,0.8581149999990885,4.176111584529281,-1692.3158391105007,-52.683934689798654,74.57984382754194,3.601902365975548,-201.7974943872565,-6.28221149336477,114.43924299484698,-201.7974943872565,-6.28221149336477,114.43924299484698,46.44995037651991,-4.563223741369967,post,2.173,-0.9700028461223718,119.00246673621696,-31.15847725004894,0.8848713000006683,0,1,0,0,0,0,0,0,0,0,0,10
273,6,0.9400549000001774,4.175789357133908,-1691.4800134696452,-52.65791437937123,74.60219545304932,3.528756747225998,-11.361809996651802,-0.3537075302303661,119.53186864866504,-11.361809996651802,-0.3537075302303661,119.53186864866504,47.79473326037367,-0.9093044196480092,post,1.789,0.7048456056234453,120.44117306831303,22.641083843628703,1.2688601999998357,0,1,0,0,0,0,0,0,0,0,0,10
274,7,0.9738262000009854,4.172244855784811,-1682.2859314202217,-52.371690964669234,74.84806333363076,3.4017991534492467,317.420204932996,9.881692861010048,128.32414793761603,317.420204932996,9.881692861010048,128.32414793761603,54.91337633340648,8.695207678693436,post,2.44,-0.2407030674561825,119.6289402589226,-7.731875304625958,0.6189771999997902,0,1,0,0,0,0,0,0,0,0,0,10
275,8,0.9638419000002614,4.174822674947791,-1688.972536547075,-52.579853448088855,74.66925032957153,3.560657259367872,-94.96439244799495,-2.9563617700442117,117.29617076735892,-94.96439244799495,-2.9563617700442117,117.29617076735892,44.22605039039684,-2.8400688377788583,post,2.164,0.3498618766365593,120.13623960513776,11.238279730227116,0.6699640000006184,0,1,0,0,0,0,0,0,0,0,0,10
276,9,1.0222417000004498,4.176111584529281,-1692.3158391105007,-52.683934689798654,74.57984382754194,3.55646830322803,-84.01621396715683,-2.615531112594415,117.58894664480286,-84.01621396715683,-2.615531112594415,117.58894664480286,42.0733206415293,-2.3013128449680096,post,2.302,0.0635078054882374,119.89025948977088,2.040000728261925,0.8196460999988631,0,1,0,0,0,0,0,0,0,0,0,10
277,10,1.074114200000622,4.175467129738536,-1690.6441878287878,-52.63189406894376,74.6245470785567,3.5374568869010545,-33.87593139596552,-1.0546006342168457,118.92979665476211,-33.87593139596552,-1.0546006342168457,118.92979665476211,41.248174147758,-0.4587002083751486,post,2.323,-0.5206116493394883,119.38849686313728,-16.723111995908997,0.8247792000001937,0,1,0,0,0,0,0,0,0,0,0,10
278,11,0.8940265999990515,4.176111584529281,-1692.3158391105007,-52.683934689798654,74.57984382754194,3.5622683963447344,-98.35394679048296,-3.0618828881949587,117.20552740156955,-98.35394679048296,-3.0618828881949587,117.20552740156955,47.67831692487991,-4.587707255910658,post,2.172,2.278827876197331,121.7932346574802,73.20061670037016,1.2737831000013102,0,1,0,0,0,0,0,0,0,0,0,10
